username,timestamp_text,comment_text,cleaned_tokens
@AnimalPrimeHub,1 month ago,"Wow, I didn’t expect to get emotional over zebras, but this story really got me. Hearing about Janet, Spirit, and Socks felt like following the journey of old friends through danger, loss, and survival. I can’t imagine how hard that migration must be — predators, exhaustion, and the constant uncertainty of who will make it. When the team finally picked up Socks’s signal, I actually felt relieved, like I was holding my breath for her the whole time. Nature is so raw and real, and moments like this remind me how strong these animals are. I really hope the rest of Janet’s herd is safe somewhere out there. Has anyone been following this migration series from the start?","['wow', 'didnt', 'expect', 'get', 'emotional', 'zebra', 'story', 'really', 'got', 'hearing', 'janet', 'spirit', 'sock', 'felt', 'like', 'following', 'journey', 'old', 'friend', 'danger', 'loss', 'survival', 'cant', 'imagine', 'hard', 'migration', 'must', 'predator', 'exhaustion', 'constant', 'uncertainty', 'make', 'team', 'finally', 'picked', 'sockss', 'signal', 'actually', 'felt', 'relieved', 'like', 'holding', 'breath', 'whole', 'time', 'nature', 'raw', 'real', 'moment', 'like', 'remind', 'strong', 'animal', 'really', 'hope', 'rest', 'janets', 'herd', 'safe', 'somewhere', 'anyone', 'following', 'migration', 'series', 'start']"
@tom-8319,1 month ago,Zeb ra?,['zeb']
@laalaa99stl,1 month ago,I don't know which showed greater perseverance: the zebra or the guys in the plane who never gave up looking for the tracker until they found it.,"['dont', 'know', 'showed', 'greater', 'perseverance', 'zebra', 'guy', 'plane', 'never', 'gave', 'looking', 'tracker', 'found']"
@fabianjoy12875,1 month ago,Lion food,"['lion', 'food']"
@AlaahAkbr-q9c,1 month ago,"God loves you and cares for you so that this message reaches you. God is the one who created this large universe and controls it completely. The greatest loss a person loses in this life is that he lives without knowing God who created him and knowing the Messenger of Muhammad, the last of the messengers, and the Islamic religion, the last of the heavenly religions.  Great intelligence, before you believe in something or not, is to read it, study it, and understand it well, and after that you have the choice to believe in it or not to believe in it. I advise you to do this now, before you no longer have time to do so. Life is very short. It is just a test, just a passage to eternal life. Great advice to those who...  Understands","['god', 'love', 'care', 'message', 'reach', 'god', 'one', 'created', 'large', 'universe', 'control', 'completely', 'greatest', 'loss', 'person', 'loses', 'life', 'life', 'without', 'knowing', 'god', 'created', 'knowing', 'messenger', 'muhammad', 'last', 'messenger', 'islamic', 'religion', 'last', 'heavenly', 'religion', 'great', 'intelligence', 'believe', 'something', 'read', 'study', 'understand', 'well', 'choice', 'believe', 'believe', 'advise', 'longer', 'time', 'life', 'short', 'test', 'passage', 'eternal', 'life', 'great', 'advice', 'understands']"
@MauroMeneguzzi-tf2jf,1 month ago,Sobrevivência difícil prós aminais falta chuva ☔️ prós aminais ❤❤,"['sobrevivncia', 'difcil', 'pr', 'aminais', 'falta', 'chuva', 'pr', 'aminais']"
@thomashninan6708,1 month ago,They look so identical so who's male and who's female,"['look', 'identical', 'who', 'male', 'who', 'female']"
@penguinagents2015,1 month ago,When I was younger I adored zebras because of their stripes and still do.,"['younger', 'adored', 'zebra', 'stripe', 'still']"
@wildnaturedocumentaryus,1 month ago,Nature is beautiful❤,"['nature', 'beautiful']"
@WildLifeSaGaX,1 month ago,Start complete don’t end complete… Check out my channel for fun wildlife videos and contents,"['start', 'complete', 'dont', 'end', 'complete', 'check', 'channel', 'fun', 'wildlife', 'video', 'content']"
@bhuvaneshnayak4596,1 month ago,Zebra' is beautiful animal.,"['zebra', 'beautiful', 'animal']"
@rajinderbhushan3439,1 month ago,Bbc earth  blessing  to humanity,"['bbc', 'earth', 'blessing', 'humanity']"
@jojobegood,1 month ago,❤❤ magnifique,['magnifique']
@OceanKinggg,1 month ago,Another beautiful animal story never knew even zebras migrate that’s another think I’ve learned today,"['another', 'beautiful', 'animal', 'story', 'never', 'knew', 'even', 'zebra', 'migrate', 'thats', 'another', 'think', 'ive', 'learned', 'today']"
@Communewithnature,1 month ago,Nature is so beautiful 👌👌,"['nature', 'beautiful']"
@kimberlyk4339,1 month ago,I know!! Great surprise!,"['know', 'great', 'surprise']"
@annatupou-morove3825,1 month ago,😊,[]
@tom-8319,1 month ago,Duh!,['duh']
@zahirmurji,1 month ago,Look under for lead b**ls.,"['look', 'lead', 'bls']"
@بحارالقمر-ز2ز,1 month ago (edited),Very valued and. Not a joke at all there the same level as horses 😊 there patterns of life is a statement... there beauty never fades very blessed becuase of there daily survival in the wild... Al Hamdulilah so much to thank Allah for 🤗 and how he teaches us threw animals you just have to listen watch.... Allah The Wise 💕 and always say No to Racism,"['valued', 'joke', 'level', 'horse', 'pattern', 'life', 'statement', 'beauty', 'never', 'fade', 'blessed', 'becuase', 'daily', 'survival', 'wild', 'hamdulilah', 'much', 'thank', 'allah', 'teach', 'threw', 'animal', 'listen', 'watch', 'allah', 'wise', 'always', 'say', 'racism']"
@Beautyofnature-c7z,1 month ago,Amazing video ❤🎉,"['amazing', 'video']"
@joannmello5085,1 month ago,Love ya  BBC ❤,"['love', 'bbc']"
@footfault1941,1 month ago,"Phylogenetically way remote, but those zebras walking with rhythmic neck/head movent seems to be a reference to that of long-necked dinosaurs like diplodocus.","['phylogenetically', 'way', 'remote', 'zebra', 'walking', 'rhythmic', 'neckhead', 'movent', 'seems', 'reference', 'longnecked', 'dinosaur', 'like', 'diplodocus']"
@Meena-e4g,1 month ago,"🦓🦓
👌",[]
@DVDAnimals,1 month ago,"The journey of a zebra isn’t just about reaching a destination. It’s about courage, endurance, and the will to keep moving forward no matter the odds.","['journey', 'zebra', 'isnt', 'reaching', 'destination', 'courage', 'endurance', 'keep', 'moving', 'forward', 'matter', 'odds']"
@stevehoddy406,1 month ago,"Brilliant news, we love Africa  back again this December","['brilliant', 'news', 'love', 'africa', 'back', 'december']"
@traveltectours6561,1 month ago,"Amazing, beautiful mother nature. Please protect them for future generations aswell ❤🙏🇱🇰","['amazing', 'beautiful', 'mother', 'nature', 'please', 'protect', 'future', 'generation', 'aswell']"
@SandeepSingh-ik8ee,1 month ago,Zebra | BBC Earth🇮🇳🔥☀️,"['zebra', 'bbc', 'earth']"
@End_illegal_Apartheid_israhell,1 month ago,wow,['wow']
@kayunilikando4357,1 month ago,Zambia 🇿🇲 is watching ❤,"['zambia', 'watching']"
@robyoung5305,1 month ago,That's my exact thought process when it comes to shopping with my wife,"['thats', 'exact', 'thought', 'process', 'come', 'shopping', 'wife']"
@بحارالقمر-ز2ز,1 month ago,😒,[]
@AnnMuthoni-ic8hu,1 month ago,Please welcome to kenya,"['please', 'welcome', 'kenya']"
